Position,First Name,Last Name,Age,Worth,Gender_cat,Source,Country,Image
62,Lakshmi,Mittal,68,18.5 BUSD,Male,Metals & Mining  ==> steel,India,https://specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359
63,Wang,Wang,48,18.2 BUSD,Male,Service  ==> package delivery,China,https://specials-images.forbesimg.com/imageserve/5a7cf9f7a7ea431690130d30/416x416.jpg?background=000000&cropX1=1243&cropX2=2927&cropY1=150&cropY2=1834
64,Leonid,Mikhelson,62,18.0 BUSD,Male,"Energy  ==> gas, chemicals",Russia,https://specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522
65,Charoen,Sirivadhanabhakdi,74,17.9 BUSD,Male,"Food and Beverage  ==> drinks, real estate",Thailand,https://specials-images.forbesimg.com/imageserve/58a2956ca7ea431f321976b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829
66,Pallonji,Mistry,89,17.8 BUSD,Male,Construction & Engineering  ==> construction,Ireland,https://specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
67,Ray,Dalio,68,17.7 BUSD,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/5ac959f74bbe6f2310f1e05c/416x416.jpg?background=000000&cropX1=777&cropX2=3143&cropY1=114&cropY2=2478
68,Takemitsu,Takizaki,73,17.5 BUSD,Male,Manufacturing  ==> sensors,Japan,https://specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860
69,William,Ding,46,17.4 BUSD,Male,Technology  ==> online games,China,https://specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063
70,R.,Hartono,77,17.4 BUSD,Male,"Finance and Investments  ==> banking, tobacco",Indonesia,https://specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754
71,Gina,Rinehart,64,17.4 BUSD,Female,Metals & Mining  ==> mining,Australia,https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995
72,German,Larrea mota velasco,64,17.3 BUSD,Male,Metals & Mining  ==> mining,Mexico,https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069
73,Carl,Icahn,82,16.8 BUSD,Male,Finance and Investments  ==> investments,United States,https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744
74,Stefan,Persson,70,16.8 BUSD,Not Available,Fashion & Retail  ==> H&M,Sweden,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015
75,Michael,Hartono,78,16.7 BUSD,Not Available,"Manufacturing  ==> banking, tobacco",Indonesia,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015
76,Joseph,Lau,66,16.7 BUSD,Male,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6ca6a7ea431690132547/416x416.jpg?background=000000&cropX1=125&cropX2=1076&cropY1=81&cropY2=1033
77,Thomas,Kwok,0,16.5 BUSD,Male,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915
78,Vagit,Alekperov,67,16.4 BUSD,Male,Energy  ==> oil,Russia,https://specials-images.forbesimg.com/imageserve/5a80c400a7ea431690133cb7/416x416.jpg?background=000000&cropX1=481&cropX2=2139&cropY1=0&cropY2=1658
79,James,Ratcliffe,65,16.4 BUSD,Male,Manufacturing  ==> chemicals,United Kingdom,https://specials-images.forbesimg.com/imageserve/5a815b254bbe6f2652f547e0/416x416.jpg?background=000000&cropX1=252&cropX2=2046&cropY1=814&cropY2=2608
80,Donald,Bren,86,16.3 BUSD,Not Available,Real Estate  ==> real estate,United States,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556
81,Iris,Fontbona,75,16.3 BUSD,Female,Metals & Mining  ==> mining,Chile,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556
82,Gennady,Timchenko,65,16.0 BUSD,Male,"Energy  ==> oil, gas",Russia,https://specials-images.forbesimg.com/imageserve/5a80a596a7ea431690133b09/416x416.jpg?background=000000&cropX1=5&cropX2=2533&cropY1=460&cropY2=2990
83,Abigail,Johnson,56,15.9 BUSD,Not Available,Finance and Investments  ==> money management,United States,https:http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621
84,Vladimir,Potanin,57,15.9 BUSD,Not Available,Metals & Mining  ==> metals,Russia,https://specials-images.forbesimg.com/imageserve/5a80c98d31358e4955ad2cc0/416x416.jpg?background=000000&cropX1=75&cropX2=2250&cropY1=5&cropY2=2181
85,Lukas,Walton,30,15.9 BUSD,Male,Fashion & Retail  ==> Walmart,United States,https://specials-images.forbesimg.com/imageserve/5a80c98d31358e4955ad2cc0/416x416.jpg?background=000000&cropX1=75&cropX2=2250&cropY1=5&cropY2=2181
86,Charlene,De carvalho-heineken,63,15.8 BUSD,Not Available,Food and Beverage  ==> Heineken,Netherlands,https://specials-images.forbesimg.com/imageserve/5a7fd414a7ea4316901331b7/416x416.jpg?background=000000&cropX1=0&cropX2=3280&cropY1=887&cropY2=4168
87,Zhang,Zhang,46,15.6 BUSD,Male,Technology  ==> internet media,China,https://specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=18&cropY2=762
88,Petr,Kellner,54,15.5 BUSD,Male,Finance and Investments  ==> banking,Czech Republic,https://specials-images.forbesimg.com/imageserve/4023ab5df9aad04f544e7dfde9031598/416x416.jpg?background=000000&cropX1=32&cropX2=723&cropY1=3&cropY2=694
89,Andrey,Melnichenko,46,15.5 BUSD,Not Available,"Energy  ==> coal, fertilizers",Russia,https://specials-images.forbesimg.com/imageserve/5a809da44bbe6f2652f53def/416x416.jpg?background=000000&cropX1=651&cropX2=3302&cropY1=6&cropY2=2656
90,David,Reuben,0,15.5 BUSD,Not Available,"Real Estate  ==> investments, real estate",United Kingdom,https://specials-images.forbesimg.com/imageserve/58ee56d9a7ea437ada262e00/416x416.jpg?background=000000&cropX1=253&cropX2=1732&cropY1=64&cropY2=1543
91,Klaus-michael,Kuehne,81,15.3 BUSD,Male,Logistics  ==> shipping,Germany,https://specials-images.forbesimg.com/imageserve/5a7e288b31358e4955ad1159/416x416.jpg?background=000000&cropX1=2640&cropX2=4000&cropY1=400&cropY2=1760
92,Li,Li,55,15.3 BUSD,Not Available,Automotive  ==> automobiles,China,https://specials-images.forbesimg.com/imageserve/5a7ccad231358e4955acf931/416x416.jpg?background=000000&cropX1=488&cropX2=1703&cropY1=161&cropY2=1377
93,Mikhail,Fridman,54,15.1 BUSD,Male,"Energy  ==> oil, banking, telecom",Russia,https://specials-images.forbesimg.com/imageserve/5a80ac47a7ea431690133b64/416x416.jpg?background=000000&cropX1=534&cropX2=3793&cropY1=7&cropY2=3263
94,Rupert,Murdoch,87,15.0 BUSD,Not Available,"Media & Entertainment  ==> newspapers, TV network",United States,https://specials-images.forbesimg.com/imageserve/5a8d934d4bbe6f2652f61c74/416x416.jpg?background=000000&cropX1=0&cropX2=1559&cropY1=81&cropY2=1639
95,Dhanin,Chearavanont,79,14.9 BUSD,Not Available,Diversified  ==> diversified,Thailand,https://specials-images.forbesimg.com/imageserve/58accecd4bbe6f0e55874019/416x416.jpg?background=000000&cropX1=61&cropX2=684&cropY1=226&cropY2=850
96,Robert,Kuok,94,14.8 BUSD,Male,"Diversified  ==> palm oil, shipping, property",Malaysia,https://specials-images.forbesimg.com/imageserve/4f21e64d970512f81a766649fb072f0d/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743
97,Emmanuel,Besnier,47,14.7 BUSD,Male,Food and Beverage  ==> cheese,France,https://specials-images.forbesimg.com/imageserve/4f21e64d970512f81a766649fb072f0d/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743
98,Shiv,Nadar,72,14.6 BUSD,Male,Technology  ==> software services,India,https://specials-images.forbesimg.com/imageserve/37d84982997cb979720fb6f28fa88067/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=111&cropY2=855
99,Viktor,Vekselberg,61,14.4 BUSD,Male,"Energy  ==> metals, energy",Russia,https://specials-images.forbesimg.com/imageserve/5a80c89231358e4955ad2ca8/416x416.jpg?background=000000&cropX1=752&cropX2=3164&cropY1=5&cropY2=2416
100,Aliko,Dangote,61,14.1 BUSD,Not Available,"Manufacturing  ==> cement, sugar, flour",Nigeria,https://specials-images.forbesimg.com/imageserve/5a7fd828a7ea43169013322e/416x416.jpg?background=000000&cropX1=240&cropX2=2897&cropY1=11&cropY2=2667
101,Harold,Hamm,72,14.1 BUSD,Male,Energy  ==> oil & gas,United States,https://specials-images.forbesimg.com/imageserve/59d563d8a7ea436b47b371d7/416x416.jpg?background=000000&cropX1=1310&cropX2=2937&cropY1=960&cropY2=2589
102,Steve,Cohen,62,14.0 BUSD,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/5a8d946e4bbe6f2652f61ca6/416x416.jpg?background=000000&cropX1=743&cropX2=3320&cropY1=91&cropY2=2667
103,Dustin,Moskovitz,33,14.0 BUSD,Male,Technology  ==> Facebook,United States,https://specials-images.forbesimg.com/imageserve/5a8d9076a7ea43169014020b/416x416.jpg?background=000000&cropX1=1208&cropX2=3374&cropY1=81&cropY2=2246
104,Marcel,Telles,68,14.0 BUSD,Male,Food and Beverage  ==> beer,Brazil,https://specials-images.forbesimg.com/imageserve/5a7b8dd54bbe6f2652f4f0fa/416x416.jpg?background=000000&cropX1=6&cropX2=1812&cropY1=862&cropY2=2667
105,Reinhold,Wuerth,83,13.6 BUSD,Male,Manufacturing  ==> fasteners,Germany,https://specials-images.forbesimg.com/imageserve/5a7e391a4bbe6f2652f528b8/416x416.jpg?background=000000&cropX1=562&cropX2=2916&cropY1=10&cropY2=2362
106,Charles,Ergen,65,13.4 BUSD,Not Available,Media & Entertainment  ==> satellite TV,United States,https://specials-images.forbesimg.com/imageserve/59d55b4331358e542c035479/416x416.jpg?background=000000&cropX1=1400&cropX2=3175&cropY1=55&cropY2=1832
107,Eric,Schmidt,63,13.4 BUSD,Not Available,Technology  ==> Google,United States,https://specials-images.forbesimg.com/imageserve/58c19b99a7ea431f321ad8d9/416x416.jpg?background=000000&cropX1=90&cropX2=631&cropY1=47&cropY2=588
108,Philip,Anschutz,78,13.0 BUSD,Male,Finance and Investments  ==> investments,United States,https://specials-images.forbesimg.com/imageserve/58c1d4a4a7ea431f321add5b/416x416.jpg?background=000000&cropX1=23&cropX2=732&cropY1=37&cropY2=746
109,Jim,Kennedy,70,13.0 BUSD,Male,Media & Entertainment  ==> media,United States,https://specials-images.forbesimg.com/imageserve/59d5622d31358e542c0354a1/416x416.jpg?background=000000&cropX1=4433&cropX2=5352&cropY1=2354&cropY2=3272
110,Blair,Parry-okeden,68,13.0 BUSD,Not Available,Media & Entertainment  ==> media,United States,https://specials-images.forbesimg.com/imageserve/59d5622d31358e542c0354a1/416x416.jpg?background=000000&cropX1=4433&cropX2=5352&cropY1=2354&cropY2=3272
