Position,Worth,Name,Age,Source,Country,Gender_cat
317,5.7 BUSD,John Tu,76,Technology  ==> computer hardware,None,Male
318,5.7 BUSD,Martin Viessmann,64,Manufacturing  ==> heating equipment,None,Male
319,5.7 BUSD,Stef Wertheimer,91,Manufacturing  ==> metalworking tools,None,Male
320,5.7 BUSD,Hansjoerg Wyss,83,Healthcare  ==> medical devices,None,Male
321,5.6 BUSD,James Dyson,71,Manufacturing  ==> vacuums,None,Not Available
322,5.6 BUSD,Laurence Graff,80,Fashion & Retail  ==> diamond jewelry,None,Male
323,5.6 BUSD,Jen-Hsun Huang,55,Technology  ==> semiconductors,United States,Male
324,5.6 BUSD,Charles Johnson,85,Finance and Investments  ==> money management,United States,Not Available
325,5.6 BUSD,Jerry Jones,75,Sports  ==> Dallas Cowboys,None,Not Available
326,5.6 BUSD,Kei Hoi Pang,52,Real Estate  ==> real estate,China,Not Available
327,5.6 BUSD,Kwee Family,62,Real Estate  ==> Real Estate,None,Male
328,5.6 BUSD,Lee Shin Cheng,79,"Manufacturing  ==> palm oil, property",None,Not Available
329,5.6 BUSD,Richard Lefrak,72,Real Estate  ==> real estate,None,Male
330,5.6 BUSD,Shigenobu Nagamori,73,Manufacturing  ==> motors,None,Male
331,5.6 BUSD,Steven Rales,67,Manufacturing  ==> manufacturing,None,Male
332,5.6 BUSD,Friede Springer,75,Media & Entertainment  ==> publishing,None,Female
333,5.6 BUSD,Yeung Kin-Man,54,Manufacturing  ==> electronics,None,Male
334,5.5 BUSD,Rinat Akhmetov,51,"Metals & Mining  ==> steel, coal",None,Male
335,5.5 BUSD,Shari Arison,60,Service  ==> Carnival Cruises,Israel,Female
336,5.5 BUSD,Dannine Avara,54,Energy  ==> pipelines,United States,Not Available
337,5.5 BUSD,Rahel Blocher,42,Manufacturing  ==> chemicals,None,Not Available
338,5.5 BUSD,Andrew Currie,62,Manufacturing  ==> chemicals,None,Male
339,5.5 BUSD,Scott Duncan,34,Energy  ==> pipelines,None,Male
340,5.5 BUSD,Milane Frantz,48,Energy  ==> pipelines,None,Female
341,5.5 BUSD,Diane Hendricks,71,Construction & Engineering  ==> roofing,United States,Female
342,5.5 BUSD,Magdalena Martullo-Blocher,49,Manufacturing  ==> chemicals,None,Female
343,5.5 BUSD,Hiroshi Mikitani,53,Fashion & Retail  ==> online retail,None,Not Available
344,5.5 BUSD,Gabe Newell,55,Gambling & Casinos  ==> videogames,None,Male
345,5.5 BUSD,Pan Sutong,55,"Real Estate  ==> real estate, finance",Hong Kong,Not Available
346,5.5 BUSD,Anthony Pratt,58,Manufacturing  ==> manufacturing,Australia,Not Available
347,5.5 BUSD,John Reece,61,Manufacturing  ==> chemicals,United Kingdom,Not Available
348,5.5 BUSD,Randa Williams,56,Energy  ==> pipelines,None,Not Available
349,5.5 BUSD,Zhang Bangxin,38,Service  ==> after-school tutoring,None,Male
350,5.5 BUSD,Zhang Shiping,71,Metals & Mining  ==> aluminum products,China,Male
351,5.4 BUSD,Jean-Michel Besnier,51,Food and Beverage  ==> cheese,France,Male
352,5.4 BUSD,Marie Besnier Beauvalot,36,Food and Beverage  ==> cheese,France,Female
353,5.4 BUSD,Richard Devos,92,Service  ==> Amway,United States,Not Available
354,5.4 BUSD,Michael Herz,74,Fashion & Retail  ==> coffee,Germany,Male
355,5.4 BUSD,Wolfgang Herz,67,Fashion & Retail  ==> coffee,Germany,Male
356,5.4 BUSD,Kjeld Kirk Kristiansen,70,Manufacturing  ==> Lego,None,Male
357,5.4 BUSD,Sofie Kirk Kristiansen,42,Manufacturing  ==> Lego,Denmark,Female
358,5.4 BUSD,Thomas Kirk Kristiansen,62,Manufacturing  ==> Lego,None,Not Available
359,5.4 BUSD,Lam Wai Ying,62,Manufacturing  ==> smartphone screens,None,Female
360,5.4 BUSD,Lin Xiucheng,62,Technology  ==> electronics,None,Male
361,5.4 BUSD,Margarita Louis-Dreyfus,56,Food and Beverage  ==> commodities,None,Not Available
362,5.4 BUSD,George Roberts,74,Finance and Investments  ==> private equity,United States,Male
363,5.4 BUSD,"Edward Roski, Jr.",79,Real Estate  ==> real estate,None,Male
364,5.4 BUSD,Agnete Kirk Thinggaard,62,Manufacturing  ==> Lego,None,Not Available
365,5.3 BUSD,Mike Adenuga,65,"Diversified  ==> telecom, oil",None,Male
366,5.3 BUSD,Jim Davis,75,Manufacturing  ==> New Balance,None,Male
367,5.3 BUSD,David Filo,52,Technology  ==> Yahoo,None,Male
368,5.3 BUSD,Pansy Ho,55,Gambling & Casinos  ==> casinos,None,Female
369,5.3 BUSD,Henry Kravis,74,Finance and Investments  ==> private equity,None,Male
370,5.3 BUSD,Emanuele (Lino) Saputo,81,Food and Beverage  ==> cheese,None,Not Available
371,5.3 BUSD,Xu Chuanhua,83,"Manufacturing  ==> chemicals, logistics",None,Male
372,5.2 BUSD,Alexander Abramov,59,"Metals & Mining  ==> steel, mining",None,Male
373,5.2 BUSD,Israel Englander,69,Finance and Investments  ==> hedge funds,United States,Male
374,5.2 BUSD,Frits Goldschmeding,84,Service  ==> temp agency,Netherlands,Male
375,5.2 BUSD,Marian Ilitch,85,"Food and Beverage  ==> pizza, sports team",United States,Female
376,5.2 BUSD,Bruce Kovner,73,Finance and Investments  ==> hedge funds,United States,Male
377,5.2 BUSD,George Lucas,74,Media & Entertainment  ==> Star Wars,None,Not Available
378,5.2 BUSD,Kalanithi Maran,52,Media & Entertainment  ==> media,None,Male
379,5.2 BUSD,Elisabeth Mohn,77,Media & Entertainment  ==> publishing,Germany,Female
380,5.2 BUSD,"Robert Rich, Jr.",77,Food and Beverage  ==> frozen foods,None,Male
381,5.2 BUSD,Wang Chuanfu,52,"Automotive  ==> batteries, automobiles",None,Male
382,5.1 BUSD,Maria Fernanda Amorim,83,"Diversified  ==> energy, investments",Portugal,Female
383,5.1 BUSD,Pyotr Aven,63,"Energy  ==> oil, banking, telecom",None,Male
384,5.1 BUSD,Bernard Marcus,89,Fashion & Retail  ==> Home Depot,None,Male
385,5.1 BUSD,Pedro Moreira Salles,58,"Diversified  ==> banking, minerals",None,Male
386,5.1 BUSD,Frederick Smith,73,Logistics  ==> FedEx,None,Male
387,5.1 BUSD,Ronda Stryker,64,Healthcare  ==> medical equipment,None,Female
388,5.0 BUSD,Richard Branson,67,Diversified  ==> Virgin,United Kingdom,Male
389,5.0 BUSD,Subhash Chandra,67,Media & Entertainment  ==> media,India,Not Available
390,5.0 BUSD,Denise Coates,50,Gambling & Casinos  ==> online gambling,United Kingdom,Female
391,5.0 BUSD,Martha Ingram,82,"Media & Entertainment  ==> book distribution, transportation",None,Female
392,5.0 BUSD,Law Kar Po,70,Real Estate  ==> real estate,Hong Kong,Male
393,5.0 BUSD,Joe Lewis,81,Finance and Investments  ==> investments,United Kingdom,Male
394,5.0 BUSD,Gabriella Meister,70,Manufacturing  ==> appliances,Germany,Female
395,5.0 BUSD,Fernando Roberto Moreira Salles,72,"Diversified  ==> banking, minerals",None,Not Available
396,5.0 BUSD,Joao Moreira Salles,56,"Diversified  ==> banking, minerals",Brazil,Male
397,5.0 BUSD,Walther Moreira Salles Junior,62,"Finance and Investments  ==> banking, minerals",None,Male
398,5.0 BUSD,Pankaj Patel,65,Healthcare  ==> pharmaceuticals,None,Male
399,5.0 BUSD,Karen Pritzker,60,"Service  ==> hotels, investments",United States,Female
400,5.0 BUSD,Thomas Schmidheiny,72,Construction & Engineering  ==> cement,None,Male
401,5.0 BUSD,Vichai Srivaddhanaprabha,60,Fashion & Retail  ==> duty-free,None,Male
402,5.0 BUSD,Keiichiro Takahara,87,Manufacturing  ==> diapers,Japan,Not Available
403,5.0 BUSD,M.A. Yusuff Ali,62,Fashion & Retail  ==> retail,None,Male
404,4.9 BUSD,Robert Bass,70,"Energy  ==> oil, investments",None,Not Available
405,4.9 BUSD,Marc Benioff,53,Technology  ==> business software,None,Not Available
406,4.9 BUSD,Martin & Olivier Bouygues,62,"Construction & Engineering  ==> construction, media",None,Male
407,4.9 BUSD,Chung Mong-Koo,80,Automotive  ==> motor vehicles,None,Not Available
408,4.9 BUSD,Charles Dolan,91,Media & Entertainment  ==> cable television,None,Male
409,4.9 BUSD,Ray Lee Hunt,75,"Energy  ==> oil, real estate",None,Male
410,4.9 BUSD,Liu Yonghao,66,Service  ==> agribusiness,China,Male
411,4.9 BUSD,John Overdeck,48,Finance and Investments  ==> hedge funds,United States,Male
412,4.9 BUSD,Ajay Piramal,62,Healthcare  ==> pharmaceuticals,None,Male
413,4.9 BUSD,"Enrique Razon, Jr.",58,Logistics  ==> ports,Philippines,Male
414,4.9 BUSD,Sumner Redstone,95,Media & Entertainment  ==> media,None,Male
415,4.9 BUSD,Paolo & Gianfelice Mario Rocca,62,Metals & Mining  ==> pipe manufacturing,None,Not Available
416,4.9 BUSD,Reinhold Schmieding,63,Healthcare  ==> medical devices,United States,Male
417,4.9 BUSD,David Siegel,56,Finance and Investments  ==> hedge funds,United States,Male
418,4.9 BUSD,Andrei Skoch,52,Metals & Mining  ==> steel,Russia,Not Available
419,4.9 BUSD,Yu Yong,57,Finance and Investments  ==> mining,China,Not Available
420,4.9 BUSD,Sam Zell,76,"Real Estate  ==> real estate, private equity",United States,Male
421,4.9 BUSD,Zhou Jianping,58,Fashion & Retail  ==> fashion retail,China,Not Available
422,4.8 BUSD,Bajaj Brothers,62,Diversified  ==> diversified,None,Not Available
423,4.8 BUSD,Garrett Camp,39,Technology  ==> Uber,None,Male
424,4.8 BUSD,Bubba Cathy,64,Food and Beverage  ==> Chick-fil-A,United States,Not Available
425,4.8 BUSD,Dan Cathy,65,Food and Beverage  ==> Chick-fil-A,United States,Male
426,4.8 BUSD,Fu Liquan,50,Technology  ==> surveillance equipment,None,Male
427,4.8 BUSD,Philip & Cristina Green,66,Fashion & Retail  ==> fashion retail,None,Male
428,4.8 BUSD,Mikhail Gutseriev,60,"Energy  ==> oil, real estate",Russia,Male
429,4.8 BUSD,"Rupert Johnson, Jr.",77,Finance and Investments  ==> money management,None,Not Available
430,4.8 BUSD,Travis Kalanick,41,Technology  ==> Uber,United States,Not Available
431,4.8 BUSD,Andrei Kozitsyn,58,Metals & Mining  ==> metals,None,Male
432,4.8 BUSD,Horst Paulmann,83,Fashion & Retail  ==> retail,None,Not Available
433,4.8 BUSD,Julio Ponce Lerou,72,Metals & Mining  ==> fertilizer,None,Not Available
434,4.8 BUSD,Trevor Rees-Jones,66,Energy  ==> oil & gas,United States,Male
435,4.8 BUSD,Mark Scheinberg,44,Gambling & Casinos  ==> online gambling,None,Male
436,4.8 BUSD,Jeffrey Skoll,53,Technology  ==> eBay,United States,Not Available
437,4.8 BUSD,Murat Ulker,59,Food and Beverage  ==> food,None,Male
438,4.8 BUSD,Daniel Ziff,46,Finance and Investments  ==> investments,None,Male
439,4.8 BUSD,Dirk Ziff,54,Finance and Investments  ==> investments,None,Male
440,4.8 BUSD,Robert Ziff,51,Finance and Investments  ==> investments,None,Not Available
441,4.7 BUSD,Juergen Blickle,71,Manufacturing  ==> auto parts,None,Not Available
442,4.7 BUSD,Bernard Broermann,74,Healthcare  ==> hospitals,None,Male
443,4.7 BUSD,Clive Calder,71,Media & Entertainment  ==> record label,None,Male
444,4.7 BUSD,Stanley Druckenmiller,65,Finance and Investments  ==> hedge funds,United States,Not Available
445,4.7 BUSD,Ted Lerner,92,Real Estate  ==> real estate,United States,Male
446,4.7 BUSD,Li Shuirong,61,Manufacturing  ==> petrochemicals,None,Male
447,4.7 BUSD,Lim Kok Thay,66,Gambling & Casinos  ==> casinos,None,Male
448,4.7 BUSD,Niels Peter Louis-Hansen,70,Healthcare  ==> medical devices,None,Male
449,4.7 BUSD,Fredrik Lundberg,66,"Real Estate  ==> real estate, investments",None,Male
450,4.7 BUSD,Gwendolyn Sontheim Meyer,56,Food and Beverage  ==> Cargill,United States,Not Available
451,4.7 BUSD,J. Christopher Reyes,64,Food and Beverage  ==> food distribution,None,Not Available
452,4.7 BUSD,Jude Reyes,62,Food and Beverage  ==> food distribution,None,Male
453,4.7 BUSD,Alexandra Schoerghuber,59,Real Estate  ==> real estate,Germany,Female
454,4.7 BUSD,Sheldon Solow,89,Real Estate  ==> real estate,United States,Male
455,4.7 BUSD,Lucio Tan,83,Diversified  ==> diversified,Philippines,Not Available
456,4.6 BUSD,Majid Al Futtaim,62,"Real Estate  ==> real estate, retail",United Arab Emirates,Male
457,4.6 BUSD,Andrej Babis,63,Food and Beverage  ==> agriculture,None,Not Available
458,4.6 BUSD,Dona Bertarelli,50,Diversified  ==> biotech,Switzerland,Female
459,4.6 BUSD,Cai Kui,55,Real Estate  ==> real estate,None,Not Available
460,4.6 BUSD,Bidzina Ivanishvili,62,Finance and Investments  ==> investments,None,Male
461,4.6 BUSD,"Jeremy Jacobs, Sr.",78,Service  ==> concessions,United States,Male
462,4.6 BUSD,Chris Larsen,58,Finance and Investments  ==> cryptocurrency,None,Not Available
463,4.6 BUSD,Patrick Lee,76,Manufacturing  ==> paper,Hong Kong,Not Available
464,4.6 BUSD,Liang Wengen,61,Manufacturing  ==> construction equipment,None,Male
465,4.6 BUSD,Denis O'Brien,60,Telecom  ==> telecom,None,Not Available
466,4.5 BUSD,Kapil & Rahul Bhatia,62,Service  ==> airlines,None,Male
467,4.5 BUSD,Jean-Pierre Cayard,75,Food and Beverage  ==> spirits,None,Male
468,4.5 BUSD,Chey Tae-Won,57,"Telecom  ==> IT, telecom",None,Male
469,4.5 BUSD,Fang Wei,44,Manufacturing  ==> steel,China,Male
470,4.5 BUSD,Andrei Guriev,58,Manufacturing  ==> fertilizers,None,Male
471,4.5 BUSD,Bertil Hult,77,Service  ==> education,None,Male
472,4.5 BUSD,Ji Changqun,50,Real Estate  ==> real estate,China,Male
473,4.5 BUSD,"Paul Tudor Jones, Ii.",63,Finance and Investments  ==> hedge funds,None,Male
474,4.5 BUSD,Robert Miller,85,Fashion & Retail  ==> retail,None,Male
475,4.5 BUSD,Sergei Popov,46,Finance and Investments  ==> banking,Russia,Male
476,4.5 BUSD,Juan Roig,68,Fashion & Retail  ==> supermarkets,None,Male
477,4.5 BUSD,John Sall,70,Technology  ==> software,United States,Male
478,4.5 BUSD,Leonard Stern,80,Real Estate  ==> real estate,None,Male
479,4.5 BUSD,Ye Chenghai,74,Healthcare  ==> pharmaceuticals,None,Male
480,4.4 BUSD,Anthony Bamford,72,Construction & Engineering  ==> construction equipment,None,Male
481,4.4 BUSD,Chu Mang Yee,58,Real Estate  ==> real estate,China,Male
482,4.4 BUSD,Juan Carlos Escotet,58,Finance and Investments  ==> banking,None,Male
483,4.4 BUSD,Miguel Fluxa Rossello,79,Service  ==> hotels,None,Male
484,4.4 BUSD,Andrew Forrest,56,Metals & Mining  ==> mining,None,Not Available
485,4.4 BUSD,Paul Gauselmann,83,Gambling & Casinos  ==> gambling,Germany,Male
486,4.4 BUSD,Tamara Gustavson,56,Service  ==> self storage,United States,Not Available
487,4.4 BUSD,Micky Jagtiani,66,Fashion & Retail  ==> retail,India,Male
488,4.4 BUSD,Johan Johannson,51,Fashion & Retail  ==> grocery stores,Norway,Male
489,4.4 BUSD,Richard Li,51,Telecom  ==> telecom,None,Male
490,4.4 BUSD,John Morris,70,Fashion & Retail  ==> sporting goods retail,None,Male
491,4.4 BUSD,Theo Mueller,78,Food and Beverage  ==> dairy,Germany,Not Available
492,4.4 BUSD,Akio Nitori,74,Fashion & Retail  ==> home furnishings,Japan,Male
493,4.4 BUSD,Wolfgang Reimann,65,Fashion & Retail  ==> consumer goods,None,Male
494,4.4 BUSD,Matthias Reimann-Andersen,53,Fashion & Retail  ==> consumer goods,None,Male
495,4.4 BUSD,Stefan Reimann-Andersen,54,Fashion & Retail  ==> consumer goods,None,Male
496,4.4 BUSD,Renate Reimann-Haas,66,Fashion & Retail  ==> consumer goods,Germany,Female
497,4.4 BUSD,Robert Smith,55,Finance and Investments  ==> private equity,None,Male
498,4.4 BUSD,Russ Weiner,48,Food and Beverage  ==> energy drinks,United States,Male
499,4.3 BUSD,Jeronimo Arango,92,Fashion & Retail  ==> retail,None,Male
500,4.3 BUSD,Rahul Bajaj,80,Automotive  ==> motorcycles,None,Male
501,4.3 BUSD,Rainer Blickle,70,Manufacturing  ==> auto parts,None,Male
502,4.3 BUSD,Rocco Commisso,68,Telecom  ==> telecom,None,Male
503,4.3 BUSD,Giuseppe De'Longhi,79,Fashion & Retail  ==> coffee makers,None,Male
504,4.3 BUSD,Tilman Fertitta,60,"Food and Beverage  ==> Houston Rockets, entertainment",United States,Not Available
505,4.3 BUSD,Nathan Kirsh,86,"Fashion & Retail  ==> retail, real estate",Swaziland,Male
506,4.3 BUSD,Terrence Pegula,67,Energy  ==> natural gas,None,Male
507,4.3 BUSD,Robert Pera,40,Technology  ==> wireless networking gear,None,Male
508,4.3 BUSD,Gary Rollins,73,Service  ==> pest control,None,Male
509,4.3 BUSD,Randall Rollins,86,Service  ==> pest control,United States,Not Available
510,4.3 BUSD,Alejandro Santo Domingo,41,Food and Beverage  ==> beer,United States,Not Available
511,4.3 BUSD,Andres Santo Domingo,40,Food and Beverage  ==> beer,United States,Not Available
512,4.3 BUSD,Pham Nhat Vuong,49,Diversified  ==> diversified,Vietnam,Not Available
513,4.3 BUSD,Roger Wang,69,Fashion & Retail  ==> retail,None,Not Available
514,4.2 BUSD,Stephen Bisciotti,58,"Sports  ==> staffing, Baltimore Ravens",United States,Male
515,4.2 BUSD,"Austen Cargill, Ii.",67,Food and Beverage  ==> Cargill,United States,Not Available
516,4.2 BUSD,"James Cargill, Ii.",69,Food and Beverage  ==> Cargill,None,Male
517,4.2 BUSD,Archie Aldis Emmerson,89,"Manufacturing  ==> timberland, lumber mills",None,Male
518,4.2 BUSD,Antti Herlin,61,"Manufacturing  ==> elevators, escalators",None,Male
519,4.2 BUSD,Sumet Jiaravanon,83,Diversified  ==> diversified,None,Male
520,4.2 BUSD,Lars Larsen,69,Fashion & Retail  ==> retail,None,Male
521,4.2 BUSD,Marianne Liebmann,64,Food and Beverage  ==> Cargill,None,Female
522,4.2 BUSD,Bobby Murphy,28,Technology  ==> Snapchat,None,Not Available
523,4.2 BUSD,Igor Olenicoff,75,Real Estate  ==> real estate,None,Male
524,4.2 BUSD,"Walter Scott, Jr.",87,"Energy  ==> utilities, telecom",None,Not Available
525,4.2 BUSD,"Clemmie Spangler, Jr.",86,Finance and Investments  ==> investments,United States,Male
526,4.2 BUSD,Wang Yusuo,54,Energy  ==> natural gas distribution,None,Not Available
527,4.1 BUSD,Carl Bennet,66,Finance and Investments  ==> investments,Sweden,Male
528,4.1 BUSD,Arthur Blank,75,Sports  ==> Home Depot,United States,Male
529,4.1 BUSD,Jaran Chiaravanont,88,Diversified  ==> diversified,Thailand,Male
530,4.1 BUSD,Jack & Laura Dangermond,72,Technology  ==> mapping software,None,Male
531,4.1 BUSD,Fan Hongwei,51,Energy  ==> petrochemicals,None,Female
532,4.1 BUSD,John Gandel,83,Real Estate  ==> shopping malls,None,Male
533,4.1 BUSD,James Jannard,69,Fashion & Retail  ==> sunglasses,None,Male
534,4.1 BUSD,Montri Jiaravanont,87,Diversified  ==> diversified,Thailand,Male
535,4.1 BUSD,Samuel Tak Lee,79,Real Estate  ==> real estate,None,Not Available
536,4.1 BUSD,Pawan Munjal,64,Automotive  ==> motorcycles,India,Male
537,4.1 BUSD,Axel Oberwelland,51,Food and Beverage  ==> candy,Germany,Male
538,4.1 BUSD,James Packer,50,Gambling & Casinos  ==> casinos,None,Not Available
539,4.1 BUSD,Isaac Perlmutter,75,Media & Entertainment  ==> Marvel comics,None,Male
540,4.1 BUSD,"H. Ross Perot, Sr.",87,"Diversified  ==> computer services, real estate",United States,Male
541,4.1 BUSD,Michael Pieper,72,Manufacturing  ==> kitchen appliances,None,Male
542,4.1 BUSD,Thomas Pritzker,68,"Finance and Investments  ==> hotels, investments",None,Male
543,4.1 BUSD,"Julian Robertson, Jr.",85,Finance and Investments  ==> hedge funds,None,Male
544,4.1 BUSD,Renzo Rosso,62,Fashion & Retail  ==> fashion,Italy,Male
545,4.1 BUSD,Hussain Sajwani,65,Real Estate  ==> real estate,United Arab Emirates,Male
546,4.1 BUSD,Yasumitsu Shigeta,53,Telecom  ==> mobile phone retailer,Japan,Male
547,4.1 BUSD,Evan Spiegel,27,Technology  ==> Snapchat,United States,Male
548,4.1 BUSD,Wang Xing,45,Technology  ==> e-commerce,None,Not Available
549,4.1 BUSD,Kelcy Warren,62,Energy  ==> pipelines,United States,Male
550,4.0 BUSD,Ben Ashkenazy,48,Real Estate  ==> real estate,None,Male
551,4.0 BUSD,Ursula Bechtolsheimer-Kipp,62,Real Estate  ==> retail,None,Female
552,4.0 BUSD,Otto Philipp Braun,40,Healthcare  ==> medical technology,Germany,Male
553,4.0 BUSD,Che Jianxing,51,Fashion & Retail  ==> furniture retailing,None,Male
554,4.0 BUSD,Dagmar Dolby,76,Technology  ==> Dolby Laboratories,None,Female
555,4.0 BUSD,Traudl Engelhorn,91,"Healthcare  ==> pharmaceuticals, medical equipment",Germany,Female
556,4.0 BUSD,Dan Friedkin,53,Automotive  ==> Toyota dealerships,None,Not Available
557,4.0 BUSD,Sergei Galitsky,50,Fashion & Retail  ==> retail,None,Male
558,4.0 BUSD,Huang Rulun,66,Real Estate  ==> real estate,None,Male
559,4.0 BUSD,Erman Ilicak,50,Construction & Engineering  ==> construction,None,Not Available
560,4.0 BUSD,Ronald Lauder,74,Fashion & Retail  ==> Estee Lauder,None,Not Available
561,4.0 BUSD,Michel Leclercq,79,Fashion & Retail  ==> sporting goods,France,Male
562,4.0 BUSD,Michael Moritz,63,Technology  ==> venture capital,None,Male
563,4.0 BUSD,Issad Rebrab,74,Food and Beverage  ==> food,None,Male
564,4.0 BUSD,Naguib Sawiris,64,Telecom  ==> telecom,None,Male
565,4.0 BUSD,Richard Schulze,77,Fashion & Retail  ==> Best Buy,United States,Not Available
566,4.0 BUSD,B.R. Shetty,76,Healthcare  ==> healthcare,None,Male
567,4.0 BUSD,Jeff Sutton,58,Real Estate  ==> real estate,United States,Male
568,4.0 BUSD,Tony Tan Caktiong,65,Food and Beverage  ==> food,None,Male
569,4.0 BUSD,Yu Huijiao,52,Logistics  ==> package delivery,None,Male
570,4.0 BUSD,Zhang Xuexin,70,Metals & Mining  ==> aluminum,China,Male
571,4.0 BUSD,Zhang Yiming,33,Technology  ==> software,None,Male
572,3.9 BUSD,Suhail Bahwan,79,Diversified  ==> diversified,Oman,Male
573,3.9 BUSD,Rick Caruso,59,Real Estate  ==> real estate,United States,Male
574,3.9 BUSD,Tom Gores,53,Finance and Investments  ==> private equity,United States,Male
575,3.9 BUSD,Peter Hargreaves,71,Finance and Investments  ==> financial services,UK,Male
576,3.9 BUSD,Daniela Herz,64,Finance and Investments  ==> coffee,Germany,Female
577,3.9 BUSD,Guenter Herz,77,Finance and Investments  ==> coffee,None,Male
578,3.9 BUSD,Masatoshi Ito,94,Fashion & Retail  ==> retail,None,Male
579,3.9 BUSD,Barry Lam,69,Technology  ==> electronics,None,Male
580,3.9 BUSD,Sudhir & Samir Mehta,62,Diversified  ==> diversified,None,Not Available
581,3.9 BUSD,Ravi Pillai,64,Construction & Engineering  ==> construction,None,Male
582,3.9 BUSD,Stewart And Lynda Resnick,62,"Food and Beverage  ==> agriculture, water",None,Male
583,3.9 BUSD,Jerry Speyer,78,Real Estate  ==> real estate,None,Male
584,3.9 BUSD,Harry Stine,76,Food and Beverage  ==> agriculture,None,Male
585,3.9 BUSD,George Ty,85,Finance and Investments  ==> banking,None,Not Available
586,3.9 BUSD,Steven Udvar-Hazy,72,Service  ==> aircraft leasing,None,Male
587,3.9 BUSD,Christoph Zeller,61,Healthcare  ==> dental implants,None,Male
588,3.8 BUSD,Nathan Blecharczyk,34,Technology  ==> Airbnb,None,Male
589,3.8 BUSD,Hubert Burda,78,Media & Entertainment  ==> publishing,None,Male
590,3.8 BUSD,Chen Dongsheng,60,Finance and Investments  ==> insurance,China,Male
591,3.8 BUSD,Brian Chesky,35,Technology  ==> Airbnb,None,Not Available
592,3.8 BUSD,Gustaf Douglas,80,Diversified  ==> investments,Sweden,Male
593,3.8 BUSD,Joe Gebbia,35,Technology  ==> Airbnb,None,Not Available
594,3.8 BUSD,Peter Gilgan,67,Construction & Engineering  ==> homebuilding,Canada,Male
595,3.8 BUSD,Jeff Greene,63,"Real Estate  ==> real estate, investments",United States,Male
596,3.8 BUSD,Jiang Weiping,63,Manufacturing  ==> chemicals,None,Not Available
597,3.8 BUSD,Dominika & Sebastian Kulczyk,62,Finance and Investments  ==> diversified,None,Female
598,3.8 BUSD,Li Wa,52,Real Estate  ==> real estate,None,Male
599,3.8 BUSD,Robert Mcnair,81,"Sports  ==> energy, sports",United States,Male
600,3.8 BUSD,Masahiro Miki,62,Fashion & Retail  ==> shoes,None,Male
601,3.8 BUSD,Katharina Otto-Bernstein,62,Real Estate  ==> real estate,None,Female
602,3.8 BUSD,Ira Rennert,84,Finance and Investments  ==> investments,United States,Male
603,3.8 BUSD,Henry Samueli,63,Technology  ==> semiconductors,None,Male
604,3.8 BUSD,Zeng Fangqin,52,Technology  ==> smartphone components,None,Female
605,3.8 BUSD,Zhang Jin,46,Diversified  ==> diversified,None,Male
606,3.7 BUSD,Nick Caporella,82,Food and Beverage  ==> beverages,None,Not Available
607,3.7 BUSD,Mark Cuban,59,Media & Entertainment  ==> online media,None,Male
608,3.7 BUSD,Ken Fisher,67,Finance and Investments  ==> money management,None,Not Available
609,3.7 BUSD,Jaime Gilinski Bacal,60,Finance and Investments  ==> banking,Colombia,Male
610,3.7 BUSD,Andreas Halvorsen,57,Finance and Investments  ==> hedge funds,Norway,Male
611,3.7 BUSD,H. Fisk Johnson,60,Manufacturing  ==> cleaning products,United States,Male
612,3.7 BUSD,Imogene Powers Johnson,87,Manufacturing  ==> cleaning products,None,Not Available
613,3.7 BUSD,S. Curtis Johnson,63,Manufacturing  ==> cleaning products,United States,Male
614,3.7 BUSD,Helen Johnson-Leipold,61,Manufacturing  ==> cleaning products,None,Female
615,3.7 BUSD,Winifred Johnson-Marquart,59,Manufacturing  ==> cleaning products,None,Female
616,3.7 BUSD,Viatcheslav Kantor,64,"Manufacturing  ==> fertilizer, real estate",None,Male
617,3.7 BUSD,Samvel Karapetyan,52,Construction & Engineering  ==> real estate,None,Male
618,3.7 BUSD,Marc Ladreit De Lacharriere,77,Finance and Investments  ==> finance,France,Male
619,3.7 BUSD,Angela Leong,57,Gambling & Casinos  ==> casinos,None,Female
620,3.7 BUSD,Li Gaiteng,46,Manufacturing  ==> hair dryers,China,Male
621,3.7 BUSD,Mangal Prabhat Lodha,62,Real Estate  ==> real estate,India,Male
622,3.7 BUSD,Michael Milken,71,Finance and Investments  ==> investments,United States,Male
623,3.7 BUSD,Yuri Milner,56,Finance and Investments  ==> tech investments,None,Not Available
624,3.7 BUSD,Andreas Struengmann,68,Healthcare  ==> pharmaceuticals,Germany,Male
625,3.7 BUSD,Thomas Struengmann,68,Healthcare  ==> pharmaceuticals,Germany,Male
626,3.7 BUSD,Tse Ping,66,Healthcare  ==> pharmaceuticals,None,Not Available
627,3.7 BUSD,Yitzhak Tshuva,69,Real Estate  ==> real estate,Israel,Not Available
628,3.7 BUSD,Samuel Yin,67,Diversified  ==> diversified,None,Not Available
629,3.6 BUSD,Michael Ashley,53,Fashion & Retail  ==> sports retailing,None,Male
630,3.6 BUSD,Cao Longxiang,60,Healthcare  ==> pharmaceuticals,China,Male
631,3.6 BUSD,Jeffery Hildebrand,59,Energy  ==> oil,None,Male
632,3.6 BUSD,Jiang Rensheng,64,Healthcare  ==> vaccine production,None,Not Available
633,3.6 BUSD,"Edward Johnson, Iv.",53,Finance and Investments  ==> money management,None,Male
