Position,Worth,Name,Age,Source,Country,Gender_cat
73,16.8 BUSD,Carl Icahn,82,Finance and Investments  ==> investments,None,Male
74,16.8 BUSD,Stefan Persson,70,Fashion & Retail  ==> H&M,None,Not Available
75,16.7 BUSD,Michael Hartono,78,"Manufacturing  ==> banking, tobacco",None,Not Available
76,16.7 BUSD,Joseph Lau,66,Real Estate  ==> real estate,None,Male
77,16.5 BUSD,Thomas & Raymond Kwok,62,Real Estate  ==> real estate,Hong Kong,Male
78,16.4 BUSD,Vagit Alekperov,67,Energy  ==> oil,Russia,Male
79,16.4 BUSD,James Ratcliffe,65,Manufacturing  ==> chemicals,None,Male
80,16.3 BUSD,Donald Bren,86,Real Estate  ==> real estate,United States,Not Available
81,16.3 BUSD,Iris Fontbona,75,Metals & Mining  ==> mining,None,Female
82,16.0 BUSD,Gennady Timchenko,65,"Energy  ==> oil, gas",None,Male
83,15.9 BUSD,Abigail Johnson,56,Finance and Investments  ==> money management,United States,Not Available
84,15.9 BUSD,Vladimir Potanin,57,Metals & Mining  ==> metals,None,Not Available
85,15.9 BUSD,Lukas Walton,30,Fashion & Retail  ==> Walmart,United States,Male
86,15.8 BUSD,Charlene De Carvalho-Heineken,63,Food and Beverage  ==> Heineken,None,Not Available
87,15.6 BUSD,Zhang Zhidong,46,Technology  ==> internet media,China,Male
88,15.5 BUSD,Petr Kellner,54,Finance and Investments  ==> banking,Czech Republic,Male
89,15.5 BUSD,Andrey Melnichenko,46,"Energy  ==> coal, fertilizers",None,Not Available
90,15.5 BUSD,David & Simon Reuben,62,"Real Estate  ==> investments, real estate",None,Not Available
91,15.3 BUSD,Klaus-Michael Kuehne,81,Logistics  ==> shipping,None,Male
92,15.3 BUSD,Li Shufu,55,Automotive  ==> automobiles,None,Not Available
93,15.1 BUSD,Mikhail Fridman,54,"Energy  ==> oil, banking, telecom",None,Male
94,15.0 BUSD,Rupert Murdoch,87,"Media & Entertainment  ==> newspapers, TV network",None,Not Available
95,14.9 BUSD,Dhanin Chearavanont,79,Diversified  ==> diversified,None,Not Available
96,14.8 BUSD,Robert Kuok,94,"Diversified  ==> palm oil, shipping, property",None,Male
97,14.7 BUSD,Emmanuel Besnier,47,Food and Beverage  ==> cheese,None,Male
98,14.6 BUSD,Shiv Nadar,72,Technology  ==> software services,India,Male
99,14.4 BUSD,Viktor Vekselberg,61,"Energy  ==> metals, energy",None,Male
100,14.1 BUSD,Aliko Dangote,61,"Manufacturing  ==> cement, sugar, flour",None,Not Available
101,14.1 BUSD,Harold Hamm,72,Energy  ==> oil & gas,None,Male
102,14.0 BUSD,Steve Cohen,62,Finance and Investments  ==> hedge funds,None,Male
103,14.0 BUSD,Dustin Moskovitz,33,Technology  ==> Facebook,None,Male
104,14.0 BUSD,Marcel Herrmann Telles,68,Food and Beverage  ==> beer,Brazil,Male
105,13.6 BUSD,Reinhold Wuerth,83,Manufacturing  ==> fasteners,Germany,Male
106,13.4 BUSD,Charles Ergen,65,Media & Entertainment  ==> satellite TV,None,Not Available
107,13.4 BUSD,Eric Schmidt,63,Technology  ==> Google,None,Not Available
108,13.0 BUSD,Philip Anschutz,78,Finance and Investments  ==> investments,None,Male
109,13.0 BUSD,Jim Kennedy,70,Media & Entertainment  ==> media,United States,Male
110,13.0 BUSD,Blair Parry-Okeden,68,Media & Entertainment  ==> media,United States,Not Available
